City,Variable,Scores
Atlanta,Unemployment Rate,0.273347752
Atlanta,Tax rate,0.553042249
Atlanta,Crime Rate,0.956370285
Atlanta,Number of Concert Venues,0.035220215
Atlanta,number of breweries ,0.910143753
Atlanta,median 1 BR rent,0.450977513
Atlanta,AVG Temp (Jan),0.646201702
Atlanta,AVG Temp (April),0.750390845
Atlanta,AVG Temp (July),0.785226205
Atlanta,AVG Temp (Oct),0.672782641
Atlanta,Yearly AVG Temp,0.721875563
Atlanta,average rainfall,0.828547499
Atlanta,average snowfall,0.184533349
Atlanta,Presence of Sports Teams,0.664145167
Atlanta,Public Parks,0.290812361
Atlanta,Total Population,0.316420874
Atlanta,Age (25-34),0.318295213
Atlanta,Population,0.255549298
Atlanta,Bar Density per 100k,0.392908477
Atlanta,Public Transportation,0.419515529
Austin,Unemployment Rate,0.178802099
Austin,Tax rate,0.094754119
Austin,Crime Rate,0.077419478
Austin,Number of Concert Venues,0.113899997
Austin,number of breweries ,0.327360423
Austin,median 1 BR rent,0.555641647
Austin,AVG Temp (Jan),0.823630798
Austin,AVG Temp (April),0.930965168
Austin,AVG Temp (July),0.933840731
Austin,AVG Temp (Oct),0.92387733
Austin,Yearly AVG Temp,0.920038273
Austin,average rainfall,0.368647543
Austin,average snowfall,0.169339848
Austin,Presence of Sports Teams,0.049809159
Austin,Public Parks,0.295716611
Austin,Total Population,0.422588566
Austin,Age (25-34),0.463231842
Austin,Population,0.33028399
Austin,Bar Density per 100k,0.607091523
Austin,Public Transportation,0.166766826
Boston,Unemployment Rate,0.178802099
Boston,Tax rate,0.466744233
Boston,Crime Rate,0.046378397
Boston,Number of Concert Venues,0.3815123
Boston,number of breweries ,0.036819135
Boston,median 1 BR rent,0.90580259
Boston,AVG Temp (Jan),0.269246468
Boston,AVG Temp (April),0.177008462
Boston,AVG Temp (July),0.401847905
Boston,AVG Temp (Oct),0.257856444
Boston,Yearly AVG Temp,0.240239285
Boston,average rainfall,0.63811885
Boston,average snowfall,0.861645866
Boston,Presence of Sports Teams,0.973864457
Boston,Public Parks,0.724524924
Boston,Total Population,0.35749124
Boston,Age (25-34),0.389827336
Boston,Population,0.365915489
Boston,Bar Density per 100k,0.207467626
Boston,Public Transportation,0.922547832
Chicago,Unemployment Rate,0.636433835
Chicago,Tax rate,0.45240346
Chicago,Crime Rate,0.946833033
Chicago,Number of Concert Venues,0.035220215
Chicago,number of breweries ,0.251167477
Chicago,median 1 BR rent,0.4955948
Chicago,AVG Temp (Jan),0.124143589
Chicago,AVG Temp (April),0.161803668
Chicago,AVG Temp (July),0.362900076
Chicago,AVG Temp (Oct),0.183452805
Chicago,Yearly AVG Temp,0.151551626
Chicago,average rainfall,0.447417377
Chicago,average snowfall,0.803316302
Chicago,Presence of Sports Teams,0.798477473
Chicago,Public Parks,0.860136315
Chicago,Total Population,0.783386811
Chicago,Age (25-34),0.803953778
Chicago,Population,0.3534891
Chicago,Bar Density per 100k,0.087115694
Chicago,Public Transportation,0.830962655
Cincinnati,Unemployment Rate,0.636433835
Cincinnati,Tax rate,0.456891119
Cincinnati,Crime Rate,0.429838981
Cincinnati,Number of Concert Venues,0.886100003
Cincinnati,number of breweries ,0.941237566
Cincinnati,median 1 BR rent,0.16852742
Cincinnati,AVG Temp (Jan),0.274148242
Cincinnati,AVG Temp (April),0.405157205
Cincinnati,AVG Temp (July),0.543383223
Cincinnati,AVG Temp (Oct),0.31798308
Cincinnati,Yearly AVG Temp,0.340006873
Cincinnati,average rainfall,0.634332498
Cincinnati,average snowfall,0.605643994
Cincinnati,Presence of Sports Teams,0.416100322
Cincinnati,Public Parks,0.89076119
Cincinnati,Total Population,0.278157978
Cincinnati,Age (25-34),0.269017333
Cincinnati,Population,0.651400637
Cincinnati,Bar Density per 100k,0.751547076
Cincinnati,Public Transportation,0.363244597
Cleveland,Unemployment Rate,0.927747018
Cleveland,Tax rate,0.456891119
Cleveland,Crime Rate,0.535702975
Cleveland,Number of Concert Venues,0.035220215
Cleveland,number of breweries ,0.036819135
Cleveland,median 1 BR rent,0.170707314
Cleveland,AVG Temp (Jan),0.189128625
Cleveland,AVG Temp (April),0.155967428
Cleveland,AVG Temp (July),0.27790732
Cleveland,AVG Temp (Oct),0.186821839
Cleveland,Yearly AVG Temp,0.16822426
Cleveland,average rainfall,0.522765537
Cleveland,average snowfall,0.964845391
Cleveland,Presence of Sports Teams,0.605992245
Cleveland,Public Parks,0.406153244
Cleveland,Total Population,0.29431818
Cleveland,Age (25-34),0.293486282
Cleveland,Population,0.721617672
Cleveland,Bar Density per 100k,0.889308559
Cleveland,Public Transportation,0.445945857
Columbus,Unemployment Rate,0.575475659
Columbus,Tax rate,0.456891119
Columbus,Crime Rate,0.26946297
Columbus,Number of Concert Venues,0.035220215
Columbus,number of breweries ,0.672639577
Columbus,median 1 BR rent,0.165291291
Columbus,AVG Temp (Jan),0.245415553
Columbus,AVG Temp (April),0.315256537
Columbus,AVG Temp (July),0.48234645
Columbus,AVG Temp (Oct),0.282891547
Columbus,Yearly AVG Temp,0.285960489
Columbus,average rainfall,0.516892689
Columbus,average snowfall,0.646293609
Columbus,Presence of Sports Teams,0.093275251
Columbus,Public Parks,0.108387858
Columbus,Total Population,0.399537456
Columbus,Age (25-34),0.412105849
Columbus,Population,0.378484167
Columbus,Bar Density per 100k,0.932491309
Columbus,Public Transportation,0.131399858
Dallas,Unemployment Rate,0.449514422
Dallas,Tax rate,0.094754119
Dallas,Crime Rate,0.348600596
Dallas,Number of Concert Venues,0.035220215
Dallas,number of breweries ,0.748832523
Dallas,median 1 BR rent,0.340098988
Dallas,AVG Temp (Jan),0.683866143
Dallas,AVG Temp (April),0.861126326
Dallas,AVG Temp (July),0.949624391
Dallas,AVG Temp (Oct),0.841998839
Dallas,Yearly AVG Temp,0.848770218
Dallas,average rainfall,0.400653601
Dallas,average snowfall,0.191106692
Dallas,Presence of Sports Teams,0.664145167
Dallas,Public Parks,0.195598628
Dallas,Total Population,0.508203549
Dallas,Age (25-34),0.499554019
Dallas,Population,0.138239416
Dallas,Bar Density per 100k,0.110691441
Dallas,Public Transportation,0.278221697
Denver,Unemployment Rate,0.223230136
Denver,Tax rate,0.422039538
Denver,Crime Rate,0.199396
Denver,Number of Concert Venues,0.182856148
Denver,number of breweries ,0.089856247
