City,Variable,Scores,Lat,Long
Atlanta,Unemployment Rate,0.273347752,33°44.56,84°23.16
Atlanta,Tax rate,0.553042249,33°44.56,84°23.16
Atlanta,Crime Rate,0.956370285,33°44.56,84°23.16
Atlanta,Number of Concert Venues,0.035220215,33°44.56,84°23.16
Atlanta,number of breweries ,0.910143753,33°44.56,84°23.16
Atlanta,median 1 BR rent,0.450977513,33°44.56,84°23.16
Atlanta,AVG Temp (Jan),42.7,33°44.56,84°23.16
Atlanta,AVG Temp (April),61.6,33°44.56,84°23.16
Atlanta,AVG Temp (July),80,33°44.56,84°23.16
Atlanta,AVG Temp (Oct),62.8,33°44.56,84°23.16
Atlanta,Yearly AVG Temp,61.78,33°44.56,84°23.16
Atlanta,average rainfall,0.828547499,33°44.56,84°23.16
Atlanta,average snowfall,0.184533349,33°44.56,84°23.16
Atlanta,Presence of Sports Teams,0.664145167,33°44.56,84°23.16
Atlanta,Public Parks,0.290812361,33°44.56,84°23.16
Atlanta,Total Population,0.316420874,33°44.56,84°23.16
Atlanta,Age (25-34),0.318295213,33°44.56,84°23.16
Atlanta,Population,0.255549298,33°44.56,84°23.16
Atlanta,Bar Density per 100k,0.392908477,33°44.56,84°23.16
Atlanta,Public Transportation,0.419515529,33°44.56,84°23.16
Austin,Unemployment Rate,0.178802099,30°16.1,97°44.35
Austin,Tax rate,0.094754119,30°16.1,97°44.35
Austin,Crime Rate,0.077419478,30°16.1,97°44.35
Austin,Number of Concert Venues,0.113899997,30°16.1,97°44.35
Austin,number of breweries ,0.327360423,30°16.1,97°44.35
Austin,median 1 BR rent,0.555641647,30°16.1,97°44.35
Austin,AVG Temp (Jan),50.2,30°16.1,97°44.35
Austin,AVG Temp (April),68.3,30°16.1,97°44.35
Austin,AVG Temp (July),84.2,30°16.1,97°44.35
Austin,AVG Temp (Oct),70.6,30°16.1,97°44.35
Austin,Yearly AVG Temp,68.33,30°16.1,97°44.35
Austin,average rainfall,0.368647543,30°16.1,97°44.35
Austin,average snowfall,0.169339848,30°16.1,97°44.35
Austin,Presence of Sports Teams,0.049809159,30°16.1,97°44.35
Austin,Public Parks,0.295716611,30°16.1,97°44.35
Austin,Total Population,0.422588566,30°16.1,97°44.35
Austin,Age (25-34),0.463231842,30°16.1,97°44.35
Austin,Population,0.33028399,30°16.1,97°44.35
Austin,Bar Density per 100k,0.607091523,30°16.1,97°44.35
Austin,Public Transportation,0.166766826,30°16.1,97°44.35
Boston,Unemployment Rate,0.178802099,42°21.30,71°3.35
Boston,Tax rate,0.466744233,42°21.30,71°3.35
Boston,Crime Rate,0.046378397,42°21.30,71°3.35
Boston,Number of Concert Venues,0.3815123,42°21.30,71°3.35
Boston,number of breweries ,0.036819135,42°21.30,71°3.35
Boston,median 1 BR rent,0.90580259,42°21.30,71°3.35
Boston,AVG Temp (Jan),29.3,42°21.30,71°3.35
Boston,AVG Temp (April),48.3,42°21.30,71°3.35
Boston,AVG Temp (July),73.9,42°21.30,71°3.35
Boston,AVG Temp (Oct),54.1,42°21.30,71°3.35
Boston,Yearly AVG Temp,51.4,42°21.30,71°3.35
Boston,average rainfall,0.63811885,42°21.30,71°3.35
Boston,average snowfall,0.861645866,42°21.30,71°3.35
Boston,Presence of Sports Teams,0.973864457,42°21.30,71°3.35
Boston,Public Parks,0.724524924,42°21.30,71°3.35
Boston,Total Population,0.35749124,42°21.30,71°3.35
Boston,Age (25-34),0.389827336,42°21.30,71°3.35
Boston,Population,0.365915489,42°21.30,71°3.35
Boston,Bar Density per 100k,0.207467626,42°21.30,71°3.35
Boston,Public Transportation,0.922547832,42°21.30,71°3.35
Chicago,Unemployment Rate,0.636433835,41°51.0,87°39.0
Chicago,Tax rate,0.45240346,41°51.0,87°39.0
Chicago,Crime Rate,0.946833033,41°51.0,87°39.0
Chicago,Number of Concert Venues,0.035220215,41°51.0,87°39.0
Chicago,number of breweries ,0.251167477,41°51.0,87°39.0
Chicago,median 1 BR rent,0.4955948,41°51.0,87°39.0
Chicago,AVG Temp (Jan),22,41°51.0,87°39.0
